Player,Nation,Age,Pos,Squad,Comp,MP,Starts,Min,90s,Touches,Carries,PrgDist,PrgC,PrgP,PrgR,Att_stats_possession,Succ,Succ%,Gls,Ast,G+A,xG,npxG,xAG,xG+xAG,Crs,Tkl,Int,Tkl+Int,Blocks,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,G-xG,np:G-xG,KP,PPA,1/3,CrsPA,SCA,SCA90,GCA,GCA90,Att Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Live_stats_possession,Rec,Won,Lost,Cmp,Clr,FatigueIndex,StyleInsight,PlayerCluster,PlayerStyle,PlayerImg,TeamImg
Abdel Abqar,ma MAR,26.0,DF,Getafe,es La Liga,8,7,583,6.5,289,108,1031,3,9,0,2,1,50.0,0,1,1,0.2,0.2,0.4,0.09,1,19,7,26,1,6,1,16.7,0.93,0.15,0.0,0.0,-0.2,-0.2,2,0,11,0,2,0.31,1,0.15,7,136,140,13,289,125,9,2,140,33,0.0555233147549048,Liga equilibrada,0,Defensa Contundente,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Abqar.jpg/250px-Abqar.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/4/46/Getafe_logo.svg/250px-Getafe_logo.svg.png
Francis Abu,gh GHA,24.0,MF,Toulouse,fr Ligue 1,8,7,526,5.8,297,145,801,1,20,10,4,3,75.0,0,0,0,0.1,0.1,0.0,0.03,0,19,8,27,3,6,0,0.0,1.03,0.0,0.0,,-0.1,-0.1,1,2,15,0,7,1.2,0,0.0,6,81,180,39,297,169,7,4,197,10,0.0156994143575957,Liga ofensiva y vertical,0,Pivote Defensivo,https://upload.wikimedia.org/wikipedia/commons/7/7c/Profile_avatar_placeholder_large.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Toulouse_FC_2018_logo.svg/250px-Toulouse_FC_2018_logo.svg.png
Giorgi Abuashvili,ge GEO,22.0,"FW,MF",Metz,fr Ligue 1,9,4,282,3.1,167,93,379,10,9,17,11,3,27.3,1,0,1,0.3,0.3,0.2,0.15,15,9,1,10,2,9,4,44.4,2.87,1.28,0.11,0.25,0.7,0.7,3,2,8,1,7,2.23,1,0.32,5,35,77,56,167,106,1,4,96,4,-0.5880914819378036,Liga ofensiva y vertical,0,Atacante Asociativo,https://upload.wikimedia.org/wikipedia/commons/7/7c/Profile_avatar_placeholder_large.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/FC_Metz_2021_Logo.svg/250px-FC_Metz_2021_Logo.svg.png
Francesco Acerbi,it ITA,37.0,DF,Inter,it Serie A,9,9,773,8.6,655,325,2563,6,33,0,1,1,100.0,0,0,0,0.4,0.4,0.1,0.05,1,7,14,21,4,3,1,33.3,0.35,0.12,0.0,0.0,-0.4,-0.4,2,2,22,1,6,0.7,0,0.0,7,290,334,31,655,460,31,1,519,52,0.73759313348877,Liga equilibrada,2,Central Constructor,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Francesco_Acerbi_2021.jpg/250px-Francesco_Acerbi_2021.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/FC_Internazionale_Milano_2021.svg/250px-FC_Internazionale_Milano_2021.svg.png
Ragnar Ache,de GER,27.0,FW,Köln,de Bundesliga,11,3,418,4.6,150,52,173,2,9,11,5,0,0.0,1,3,4,2.1,2.1,1.0,0.66,0,4,0,4,2,11,3,27.3,2.37,0.65,0.09,0.33,-1.1,-1.1,7,3,6,0,13,2.8,4,0.86,23,21,63,67,150,105,35,3,55,13,-0.6017884781263841,Liga equilibrada,0,9 Goleador de Área,https://upload.wikimedia.org/wikipedia/commons/1/1d/2022128173635_2022-05-08_Fussball_Eintracht_Frankfurt_vs_Borussia_M%C3%B6nchengladbach_-_Sven_-_1D_X_MK_II_-_0064_-_IMG_7960_%28Ragnar_Ache_cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/1._FC_Koeln_Logo_2014%E2%80%93.svg/250px-1._FC_Koeln_Logo_2014%E2%80%93.svg.png
Joshua Acheampong,eng ENG,19.0,DF,Chelsea,eng Premier League,5,4,349,3.9,330,241,1044,4,11,0,9,8,88.9,1,0,1,0.6,0.6,0.0,0.16,0,2,7,9,2,3,2,66.7,0.77,0.52,0.33,0.5,0.4,0.4,0,0,8,0,0,0.0,0,0.0,4,133,179,21,330,255,9,1,273,13,-0.2207561226921664,Liga equilibrada,0,Defensa Posicional,https://upload.wikimedia.org/wikipedia/commons/7/7c/Profile_avatar_placeholder_large.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/250px-Chelsea_FC.svg.png
Akor Adams,ng NGA,25.0,FW,Sevilla,es La Liga,12,6,672,7.5,192,96,160,11,6,30,12,8,66.7,2,1,3,2.8,2.8,0.2,0.39,6,4,0,4,8,21,10,47.6,2.81,1.34,0.1,0.2,-0.8,-0.8,3,2,4,0,9,1.21,0,0.0,39,22,80,94,192,140,23,1,68,9,-0.2686480409804906,Liga equilibrada,4,9 Goleador de Área,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Akor_Adams_December_2024.png/250px-Akor_Adams_December_2024.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Sevilla_FC_logo.svg/250px-Sevilla_FC_logo.svg.png
Che Adams,sct SCO,29.0,"FW,MF",Torino,it Serie A,12,5,574,6.4,221,131,365,4,11,42,15,7,46.7,3,0,3,2.1,2.1,0.3,0.39,7,3,1,4,6,21,8,38.1,3.29,1.25,0.14,0.38,0.9,0.9,4,3,10,1,14,2.2,0,0.0,26,16,91,115,221,168,6,3,115,5,-0.2947928992577784,Liga equilibrada,4,9 Goleador de Área,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Che_Adams.jpg/250px-Che_Adams.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Torino_FC_Logo.svg/250px-Torino_FC_Logo.svg.png
Tyler Adams,us USA,26.0,MF,Bournemouth,eng Premier League,13,13,1101,12.2,775,433,2267,12,56,7,10,4,40.0,2,1,3,0.5,0.5,0.1,0.04,0,34,20,54,10,8,6,75.0,0.65,0.49,0.25,0.33,1.5,1.5,2,1,55,0,13,1.06,3,0.25,6,205,457,120,775,458,8,13,554,23,1.580566331021319,Liga equilibrada,2,Interior Conductor,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/2021-11-06_Fu%C3%9Fball%2C_M%C3%A4nner%2C_1._Bundesliga%2C_RB_Leipzig_-_Borussia_Dortmund_1DX_1527_by_Stepro_%28cropped2%29.jpg/250px-2021-11-06_Fu%C3%9Fball%2C_M%C3%A4nner%2C_1._Bundesliga%2C_RB_Leipzig_-_Borussia_Dortmund_1DX_1527_by_Stepro_%28cropped2%29.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/AFC_Bournemouth_%282013%29.svg/250px-AFC_Bournemouth_%282013%29.svg.png
Junior Adamu,at AUT,24.0,FW,Freiburg,de Bundesliga,8,7,434,4.8,159,77,107,2,4,26,13,5,38.5,1,1,2,1.6,1.6,1.2,0.57,2,9,6,15,6,7,3,42.9,1.45,0.62,0.14,0.33,-0.6,-0.6,4,2,1,1,9,1.87,2,0.41,20,25,72,64,159,110,23,1,47,5,-0.4294151108031608,Liga equilibrada,3,9 Goleador de Área,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/FC_RB_Salzburg_gegen_FK_Austria_Wien_%282022-04-24%29_40.jpg/250px-FC_RB_Salzburg_gegen_FK_Austria_Wien_%282022-04-24%29_40.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/SC_Freiburg_logo.svg/250px-SC_Freiburg_logo.svg.png
Tosin Adarabioyo,eng ENG,28.0,DF,Chelsea,eng Premier League,8,4,471,5.2,530,300,3030,2,17,0,0,0,,0,0,0,0.0,0.0,0.0,0.01,0,12,5,17,2,1,0,0.0,0.19,0.0,0.0,,0.0,0.0,0,2,21,0,1,0.19,0,0.0,2,267,254,9,530,378,23,1,427,30,0.4049424720451314,Liga equilibrada,2,Defensa Contundente,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Tosin_Adarabioyo_FIFA_Club_World_Cup_extraction.jpg/250px-Tosin_Adarabioyo_FIFA_Club_World_Cup_extraction.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/250px-Chelsea_FC.svg.png
Jayden Addai,nl NED,20.0,FW,Como,it Serie A,8,5,509,5.7,200,135,331,19,13,48,22,7,31.8,3,0,3,1.4,1.4,0.5,0.33,9,5,2,7,8,11,6,54.5,1.94,1.06,0.27,0.5,1.6,1.6,4,5,5,1,11,1.94,0,0.0,25,21,71,113,200,147,0,3,94,1,-0.3283022657727653,Liga equilibrada,4,9 Goleador de Área,https://upload.wikimedia.org/wikipedia/commons/7/7c/Profile_avatar_placeholder_large.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Calcio_Como_-_logo_%28Italy%2C_2019-%29.svg/250px-Calcio_Como_-_logo_%28Italy%2C_2019-%29.svg.png
Karim Adeyemi,de GER,23.0,"MF,FW",Dortmund,de Bundesliga,12,8,596,6.6,272,180,325,21,17,64,31,13,41.9,4,1,5,2.4,2.4,1.6,0.6,4,3,4,7,12,19,8,42.1,2.87,1.21,0.21,0.5,1.6,1.6,8,2,7,0,28,4.23,5,0.76,41,21,89,166,272,201,4,4,119,1,-0.1779364577524686,Liga equilibrada,4,Interior Conductor,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/FC_Salzburg_gegen_FC_Bayern_M%C3%BCnchen_%28Championsleague_Achtelfinale_Hinspiel_16._Februar_2022%29_63.jpg/250px-FC_Salzburg_gegen_FC_Bayern_M%C3%BCnchen_%28Championsleague_Achtelfinale_Hinspiel_16._Februar_2022%29_63.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/250px-Borussia_Dortmund_logo.svg.png
Simon Adingra,ci CIV,23.0,"FW,MF",Sunderland,eng Premier League,8,4,301,3.3,120,86,96,8,2,35,10,4,40.0,0,0,0,0.1,0.1,0.6,0.22,16,4,0,4,10,1,0,0.0,0.3,0.0,0.0,,-0.1,-0.1,5,4,0,2,8,2.39,1,0.3,3,15,39,66,120,90,3,1,57,5,-0.6950336333461276,Liga equilibrada,3,Segundo Delantero / Asistidor,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Simon_Adingra_USG_2023.jpg/250px-Simon_Adingra_USG_2023.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Logo_Sunderland.svg/330px-Logo_Sunderland.svg.png
Nathaniel Adjei,gh GHA,23.0,DF,Lorient,fr Ligue 1,2,0,7,0.1,5,3,25,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0.0,0.0,,,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,1,4,0,5,4,0,0,5,0,-1.1795237866314672,Liga ofensiva y vertical,0,Defensa Posicional,https://upload.wikimedia.org/wikipedia/commons/7/7c/Profile_avatar_placeholder_large.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/FC_Lorient_logo.svg/250px-FC_Lorient_logo.svg.png
Amine Adli,ma MAR,25.0,"FW,MF",Bournemouth,eng Premier League,10,2,317,3.5,191,105,292,9,11,26,9,4,44.4,1,0,1,0.9,0.9,0.2,0.33,8,15,3,18,6,7,4,57.1,1.99,1.14,0.14,0.25,0.1,0.1,5,3,5,0,14,3.99,0,0.0,14,35,71,88,191,111,6,3,102,5,-0.4522933396390297,Liga equilibrada,3,9 Goleador de Área,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/AmineAdli.jpg/250px-AmineAdli.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/AFC_Bournemouth_%282013%29.svg/250px-AFC_Bournemouth_%282013%29.svg.png
Vasilije Adžić,me MNE,19.0,MF,Juventus,it Serie A,5,1,126,1.4,94,42,218,1,9,7,6,1,16.7,1,0,1,0.2,0.2,0.2,0.26,2,3,2,5,5,5,4,80.0,3.57,2.86,0.2,0.25,0.8,0.8,4,2,4,0,5,3.6,0,0.0,3,15,40,42,94,52,1,1,54,3,-0.908951376104417,Liga equilibrada,0,Interior Mixto,https://upload.wikimedia.org/wikipedia/commons/7/7c/Profile_avatar_placeholder_large.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Juventus_FC_-_logo_black_%28Italy%2C_2020%29.svg/250px-Juventus_FC_-_logo_black_%28Italy%2C_2020%29.svg.png
Michel Aebischer,ch SUI,28.0,MF,Pisa,it Serie A,12,11,979,10.9,623,341,2028,13,52,10,9,4,44.4,0,0,0,0.1,0.1,0.6,0.07,7,28,10,38,7,5,0,0.0,0.46,0.0,0.0,,-0.1,-0.1,10,7,38,0,27,2.48,2,0.18,3,170,388,70,623,389,3,9,450,11,1.098173318735489,Liga equilibrada,3,Organizador / Regista,https://upload.wikimedia.org/wikipedia/commons/7/7c/Profile_avatar_placeholder_large.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Pisa_SC_crest.svg/250px-Pisa_SC_crest.svg.png
David Affengruber,at AUT,24.0,DF,Elche,es La Liga,13,12,1113,12.4,908,475,4221,6,40,2,2,2,100.0,0,0,0,0.0,0.0,0.2,0.02,2,27,22,49,1,1,1,100.0,0.08,0.08,0.0,0.0,0.0,0.0,3,4,45,0,11,0.89,2,0.16,5,426,468,21,908,575,24,4,672,80,1.9086793231692016,Liga equilibrada,2,Central Constructor,https://upload.wikimedia.org/wikipedia/commons/7/7c/Profile_avatar_placeholder_large.png,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Elche_CF_logo.svg/250px-Elche_CF_logo.svg.png
Oladapo Afolayan,eng ENG,27.0,"MF,FW",St. Pauli,de Bundesliga,7,1,150,1.7,111,81,159,7,7,19,13,2,15.4,0,0,0,0.6,0.6,0.1,0.45,10,4,0,4,6,4,2,50.0,2.4,1.2,0.0,0.0,-0.6,-0.6,2,2,5,1,7,4.23,0,0.0,7,6,36,70,111,101,3,0,50,2,-0.8514063948662506,Liga equilibrada,0,Interior Mixto,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/2025-04-23_-_FC_St_Pauli_-_Oladapo_Afolayan.jpg/250px-2025-04-23_-_FC_St_Pauli_-_Oladapo_Afolayan.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/FC_St_Pauli.png/250px-FC_St_Pauli.png
Emmanuel Agbadou,ci CIV,28.0,DF,Wolves,eng Premier League,10,8,741,8.2,605,335,3311,5,33,7,2,1,50.0,0,0,0,0.4,0.4,0.1,0.06,11,22,6,28,6,7,2,28.6,0.85,0.24,0.0,0.0,-0.4,-0.4,2,6,47,2,8,0.97,0,0.0,7,282,285,41,605,402,21,5,397,49,0.919820127617572,Liga equilibrada,2,Central Constructor,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Emmanuel_Agbadou.jpg/250px-Emmanuel_Agbadou.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Escudo_de_Wolverhampton_Wanderers.png/250px-Escudo_de_Wolverhampton_Wanderers.png
Julen Agirrezabala,es ESP,24.0,GK,Valencia,es La Liga,13,13,1170,13.0,460,241,5982,0,1,0,0,0,,0,0,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,,0.0,0.0,,,0.0,0.0,1,0,2,0,2,0.15,0,0.0,0,458,2,0,460,195,7,1,306,11,1.3676398560584804,Liga equilibrada,2,Interior Mixto,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/40px-Flag_of_Spain.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Valenciacf.svg/250px-Valenciacf.svg.png
Lucien Agoume,fr FRA,23.0,MF,Sevilla,es La Liga,11,9,792,8.8,489,264,1782,13,52,12,6,3,50.0,1,1,2,0.3,0.3,0.8,0.12,5,18,11,29,9,2,1,50.0,0.23,0.11,0.5,1.0,0.7,0.7,8,8,50,2,16,1.82,2,0.23,8,110,283,98,489,313,15,4,327,14,0.6455591585553584,Liga equilibrada,3,Organizador / Regista,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Lucien_Agoum%C3%A9.jpg/250px-Lucien_Agoum%C3%A9.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Sevilla_FC_logo.svg/250px-Sevilla_FC_logo.svg.png
Felix Agu,ng NGA,26.0,DF,Werder Bremen,de Bundesliga,6,6,483,5.4,318,161,661,9,12,28,6,2,33.3,0,0,0,0.0,0.0,0.4,0.07,7,14,7,21,8,1,1,100.0,0.19,0.19,0.0,0.0,0.0,0.0,5,3,8,2,6,1.12,1,0.19,6,114,135,72,318,168,8,5,198,18,-0.1009955628564022,Liga equilibrada,3,Defensa Contundente,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/FelixAgu.jpg/250px-FelixAgu.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/250px-SV-Werder-Bremen-Logo.svg.png
Marc Aguado,es ESP,25.0,MF,Elche,es La Liga,13,10,827,9.2,574,274,2004,2,36,10,0,0,,0,0,0,0.0,0.0,0.0,0.01,1,14,17,31,5,1,0,0.0,0.11,0.0,0.0,,0.0,0.0,1,2,56,1,9,0.98,0,0.0,2,164,355,55,574,409,1,3,446,18,0.7569318956892249,Liga equilibrada,2,Pivote Defensivo,https://upload.wikimedia.org/wikipedia/commons/7/7c/Profile_avatar_placeholder_large.png,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Elche_CF_logo.svg/250px-Elche_CF_logo.svg.png
Pablo Agudín,es ESP,18.0,"MF,FW",Oviedo,es La Liga,3,0,58,0.6,24,18,14,1,1,6,1,1,100.0,0,0,0,0.0,0.0,0.0,0.05,0,0,0,0,0,2,0,0.0,3.1,0.0,0.0,,0.0,0.0,0,0,0,0,1,1.55,0,0.0,4,8,5,11,24,16,0,0,4,1,-1.1087657877057673,Liga equilibrada,0,Interior Mixto,https://upload.wikimedia.org/wikipedia/commons/7/7c/Profile_avatar_placeholder_large.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Real_Oviedo_logo.svg/250px-Real_Oviedo_logo.svg.png
Nayef Aguerd,ma MAR,29.0,DF,West Ham,eng Premier League,2,2,180,2.0,143,71,663,2,9,0,1,1,100.0,0,0,0,0.1,0.1,0.0,0.05,2,1,1,2,1,2,0,0.0,1.0,0.0,0.0,,-0.1,-0.1,0,0,12,0,2,1.0,0,0.0,2,62,72,9,143,93,4,0,106,11,-0.7758957291741488,Liga equilibrada,0,Defensa Posicional,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Nayef_Aguerd_vs_Niger%2C_5_Sept_2025.jpg/250px-Nayef_Aguerd_vs_Niger%2C_5_Sept_2025.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/250px-West_Ham_United_FC_logo.svg.png
Nayef Aguerd,ma MAR,29.0,DF,West Ham,eng Premier League,2,2,180,2.0,143,71,663,2,9,0,1,1,100.0,0,0,0,0.1,0.1,0.0,0.05,2,1,1,2,1,2,0,0.0,1.0,0.0,0.0,,-0.1,-0.1,0,0,12,0,2,1.0,0,0.0,2,62,72,9,143,93,4,0,106,11,-0.7758957291741488,Liga equilibrada,0,Defensa Posicional,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Nayef_Aguerd_vs_Niger%2C_5_Sept_2025.jpg/250px-Nayef_Aguerd_vs_Niger%2C_5_Sept_2025.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Olympique_Marseille_logo.svg/250px-Olympique_Marseille_logo.svg.png
